                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0842,                 1.9682,                 1.0615,                0.90391,                0.38296,                0.67728,                0.52494,                0.94541,                 1.1416,                0.97991,                0.00035,                0.00035,                0.00035
                      2,                0.93292,                0.80362,                0.96857,                0.52547,                 0.6932,                0.59288,                0.44613,                0.85386,                0.69232,                0.95726,             0.00068899,             0.00068899,             0.00068899
                      3,                 0.8817,                0.66407,                 0.9513,                0.56408,                0.42446,                0.51283,                0.39129,                0.84605,                0.74187,                0.93454,              0.0010041,              0.0010041,              0.0010041
                      4,                0.85681,                 0.6438,                0.94084,                0.72756,                0.63023,                0.58496,                0.45797,                0.86602,                 0.6631,                0.93835,              0.0011263,              0.0011263,              0.0011263
                      5,                0.83305,                 0.6001,                0.93263,                0.87578,                0.66447,                0.74721,                0.59065,                0.77852,                0.56164,                 0.8925,               0.001085,               0.001085,               0.001085
                      6,                0.79639,                0.54897,                0.91387,                0.78734,                0.68344,                0.66292,                0.51103,                0.79277,                0.53704,                0.90231,              0.0010438,              0.0010438,              0.0010438
                      7,                0.79985,                0.53228,                0.91728,                0.71245,                  0.725,                 0.6544,                0.51568,                0.79802,                0.51884,                0.91802,              0.0010025,              0.0010025,              0.0010025
                      8,                 0.7801,                0.51838,                0.91366,                0.94313,                0.71378,                0.79561,                0.59022,                 0.7359,                0.46245,                0.89401,             0.00096125,             0.00096125,             0.00096125
                      9,                0.72872,                0.48439,                 0.9023,                0.96425,                0.86498,                0.91891,                0.73425,                 0.6944,                0.43806,                0.88464,                0.00092,                0.00092,                0.00092
                     10,                0.72749,                 0.4771,                0.90071,                0.94647,                0.88758,                0.91826,                0.68394,                0.69703,                0.42901,                0.88476,             0.00087875,             0.00087875,             0.00087875
                     11,                0.71528,                0.46634,                0.89336,                0.95971,                0.88833,                0.91958,                0.73225,                0.70769,                 0.4454,                0.88604,              0.0008375,              0.0008375,              0.0008375
                     12,                 0.6949,                0.45255,                0.88574,                0.95472,                   0.88,                0.92073,                0.72654,                0.70776,                0.41842,                0.88648,             0.00079625,             0.00079625,             0.00079625
                     13,                0.68363,                0.43882,                0.87937,                0.95748,                0.89345,                 0.9201,                0.72303,                0.68492,                0.40929,                0.88705,               0.000755,               0.000755,               0.000755
                     14,                0.67621,                0.42818,                0.87431,                0.92905,                0.85844,                0.91909,                0.71149,                0.69905,                0.40717,                0.88727,             0.00071375,             0.00071375,             0.00071375
                     15,                0.66866,                 0.4227,                0.87226,                0.90559,                0.88501,                0.91688,                0.74759,                0.68751,                0.40499,                0.88919,              0.0006725,              0.0006725,              0.0006725
                     16,                0.65247,                0.41354,                0.87169,                0.83515,                 0.8994,                0.92284,                0.72754,                0.66188,                0.39193,                0.88257,             0.00063125,             0.00063125,             0.00063125
                     17,                0.63856,                 0.4072,                0.86463,                0.84327,                0.86082,                0.91955,                 0.7144,                0.68263,                0.40612,                0.88923,                0.00059,                0.00059,                0.00059
                     18,                0.62262,                0.39582,                0.86405,                0.96185,                0.82528,                0.90774,                0.71359,                 0.6672,                0.38771,                0.88143,             0.00054875,             0.00054875,             0.00054875
                     19,                0.62318,                0.39413,                0.86238,                0.82737,                0.89134,                0.91401,                 0.7181,                0.63556,                0.37431,                0.88208,              0.0005075,              0.0005075,              0.0005075
                     20,                0.62016,                0.38923,                0.86641,                0.99625,                0.82604,                0.92329,                 0.7438,                 0.6454,                 0.3766,                0.87541,             0.00046625,             0.00046625,             0.00046625
                     21,                0.64229,                0.39793,                0.86899,                0.97178,                  0.895,                0.91667,                0.75293,                0.63815,                0.38824,                0.86987,               0.000425,               0.000425,               0.000425
                     22,                0.63545,                0.38848,                0.86725,                0.89866,                0.87455,                0.91552,                0.74775,                 0.6475,                 0.3849,                0.88152,             0.00038375,             0.00038375,             0.00038375
                     23,                0.62846,                0.38337,                0.85922,                0.97452,                0.90779,                0.91712,                0.71388,                0.64405,                0.38823,                0.88238,              0.0003425,              0.0003425,              0.0003425
                     24,                0.60596,                0.37084,                0.85246,                0.95103,                0.87905,                0.92048,                 0.6774,                0.63264,                0.37239,                0.88157,             0.00030125,             0.00030125,             0.00030125
                     25,                0.59757,                0.36166,                0.85405,                0.95707,                   0.85,                0.91908,                0.73852,                0.62991,                0.37153,                0.87573,                0.00026,                0.00026,                0.00026
                     26,                0.58996,                 0.3571,                0.85337,                0.96727,                0.84571,                0.91978,                0.75027,                0.63639,                 0.3549,                0.87898,             0.00021875,             0.00021875,             0.00021875
                     27,                0.58321,                0.34868,                0.85117,                0.91722,                0.83726,                0.91708,                0.73373,                0.62726,                0.35686,                0.87751,              0.0001775,              0.0001775,              0.0001775
                     28,                0.57469,                0.34356,                0.84698,                0.89703,                 0.8322,                0.91681,                0.75338,                0.61735,                 0.3508,                0.87926,             0.00013625,             0.00013625,             0.00013625
                     29,                0.56592,                0.33781,                0.84717,                0.86836,                  0.848,                0.91643,                0.75718,                0.62616,                0.35247,                0.87967,                9.5e-05,                9.5e-05,                9.5e-05
                     30,                0.55601,                0.33296,                0.84337,                0.94243,                0.80714,                0.91338,                0.76256,                0.60991,                 0.3438,                0.87333,              5.375e-05,              5.375e-05,              5.375e-05
