                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.55771,                0.40538,                  0.934,                 0.8255,                0.73636,                0.78214,                0.60227,                0.93199,                 0.9097,                 1.2527,             0.00041356,             0.00041356,             0.00041356
                      2,                0.60228,                0.44824,                0.94333,                0.82438,                0.67136,                0.72238,                 0.5293,                 1.0254,                 1.0494,                 1.3291,             0.00078913,             0.00078913,             0.00078913
                      3,                0.65594,                0.51666,                0.97117,                 0.8519,                0.68699,                0.76983,                0.58303,                 0.9878,                0.90843,                 1.2844,              0.0011234,              0.0011234,              0.0011234
                      4,                0.67613,                0.54243,                 0.9772,                0.80703,                0.67235,                0.73247,                0.53397,                 1.0503,                 1.0147,                 1.3085,              0.0010644,              0.0010644,              0.0010644
                      5,                0.67396,                0.52608,                 0.9743,                0.82879,                0.70007,                0.76277,                0.55269,                 1.0298,                 0.9793,                 1.2673,              0.0010025,              0.0010025,              0.0010025
                      6,                 0.6708,                0.52453,                0.97576,                0.85255,                0.68856,                0.75449,                0.55519,                 1.0283,                 1.0389,                 1.3197,             0.00094062,             0.00094062,             0.00094062
                      7,                0.65014,                 0.5061,                0.96892,                0.85265,                0.67324,                0.75475,                0.56571,                 1.0115,                0.99483,                 1.2958,             0.00087875,             0.00087875,             0.00087875
                      8,                0.64383,                0.48647,                0.96045,                0.81613,                0.68941,                0.74845,                0.55951,                 1.0173,                 1.0274,                 1.3108,             0.00081688,             0.00081688,             0.00081688
                      9,                0.62963,                0.47449,                0.95677,                0.82749,                0.73045,                0.78339,                0.58011,                0.99606,                0.88474,                 1.2557,               0.000755,               0.000755,               0.000755
                     10,                0.62101,                0.46634,                0.95173,                0.84902,                0.69821,                0.76881,                0.58341,                0.98151,                0.95859,                 1.2758,             0.00069313,             0.00069313,             0.00069313
                     11,                0.62259,                0.42735,                0.93537,                0.86127,                0.69576,                0.75785,                0.56639,                0.96166,                0.95218,                  1.274,             0.00063125,             0.00063125,             0.00063125
                     12,                0.61133,                0.40423,                0.92727,                0.85107,                0.70299,                0.77712,                0.58892,                0.95422,                0.90995,                 1.2627,             0.00056938,             0.00056938,             0.00056938
                     13,                0.59209,                0.39521,                0.92188,                 0.8457,                0.71012,                0.78741,                0.60208,                0.94974,                0.89069,                 1.2371,              0.0005075,              0.0005075,              0.0005075
                     14,                0.57306,                0.37689,                0.90667,                0.84881,                0.70206,                0.77721,                0.60283,                0.93696,                0.90299,                 1.2419,             0.00044563,             0.00044563,             0.00044563
                     15,                0.56058,                0.36453,                 0.9055,                 0.8234,                0.72057,                 0.7878,                0.60754,                 0.9216,                0.86998,                 1.2344,             0.00038375,             0.00038375,             0.00038375
                     16,                0.54651,                0.35131,                0.89366,                0.86509,                0.69765,                0.77875,                0.60919,                0.92066,                0.91679,                  1.268,             0.00032188,             0.00032188,             0.00032188
                     17,                0.52553,                0.33879,                0.88734,                0.88582,                0.69671,                0.78099,                0.61212,                 0.8955,                0.89248,                 1.2269,                0.00026,                0.00026,                0.00026
                     18,                 0.5161,                0.33433,                0.88473,                 0.8713,                0.70398,                0.79802,                0.63069,                0.86974,                0.86486,                 1.2033,             0.00019813,             0.00019813,             0.00019813
                     19,                0.49868,                0.32401,                0.87498,                0.86623,                0.71822,                0.79499,                0.62693,                0.87604,                0.89708,                 1.2097,             0.00013625,             0.00013625,             0.00013625
                     20,                0.48599,                0.31168,                0.87516,                0.83963,                0.74872,                0.79953,                0.63125,                0.87621,                0.89253,                  1.208,             7.4375e-05,             7.4375e-05,             7.4375e-05
