                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.89239,                 1.8999,                 1.2781,                 1.1191,                0.55667,                0.57958,                0.57888,                0.37355,                0.48409,                0.46344,                0.46095,                0.24771,                 1.2054,                 3.4829,                 2.3398,                 1.4707,             0.00041356,             0.00041356,             0.00041356
                      2,                 1.0534,                  2.056,                 1.1408,                 1.2079,                0.55243,                 0.4958,                0.46963,                0.27884,                0.52628,                0.49627,                0.45271,                0.25511,                 1.4884,                 2.8124,                 2.3512,                 1.6805,             0.00081379,             0.00081379,             0.00081379
                      3,                 1.0847,                 2.0878,                 1.1467,                 1.2377,                0.66533,                0.55503,                0.57946,                0.35981,                0.65198,                0.56656,                0.56696,                0.32468,                 1.3904,                  2.717,                 1.6352,                 1.7319,              0.0011975,              0.0011975,              0.0011975
                      4,                  1.049,                 2.0217,                 1.0951,                 1.2053,                0.63673,                0.54421,                0.55644,                0.33537,                0.60544,                0.51831,                0.51739,                0.30427,                 1.3509,                 2.7539,                 1.7249,                 1.5802,              0.0011757,              0.0011757,              0.0011757
                      5,                0.99238,                 1.9464,                0.98279,                 1.1722,                0.79414,                0.61995,                0.69484,                0.47165,                0.78326,                0.61356,                0.66869,                0.43571,                 1.1897,                 2.4588,                 1.2187,                 1.4489,               0.001151,               0.001151,               0.001151
                      6,                0.96423,                 1.9086,                0.95242,                 1.1598,                0.74573,                0.62513,                0.69458,                0.48668,                0.78693,                0.60313,                0.67115,                0.45282,                 1.1289,                 2.3815,                 1.1684,                 1.3852,              0.0011263,              0.0011263,              0.0011263
                      7,                0.91741,                  1.822,                0.89097,                 1.1408,                0.71371,                0.64603,                0.68856,                0.47951,                0.71922,                0.63606,                 0.6724,                0.42851,                 1.1111,                  2.399,                 1.1535,                 1.3945,              0.0011015,              0.0011015,              0.0011015
                      8,                0.89395,                 1.7498,                0.84909,                 1.1161,                0.84153,                0.64281,                0.72419,                  0.512,                0.81964,                0.62888,                0.70178,                0.47165,                 1.1458,                 2.3539,                 1.1326,                 1.4152,              0.0010768,              0.0010768,              0.0010768
                      9,                0.85421,                 1.6801,                0.79791,                  1.096,                0.82734,                0.66089,                0.74335,                0.52737,                0.83573,                0.65143,                0.72783,                0.48292,                 1.0925,                 2.2609,                 1.0484,                 1.3351,               0.001052,               0.001052,               0.001052
                     10,                0.84088,                 1.6394,                0.78899,                 1.0857,                0.80763,                0.68568,                0.74993,                0.53732,                 0.8306,                 0.6696,                0.73414,                0.49722,                 1.0535,                 2.2175,                 1.0171,                  1.331,              0.0010273,              0.0010273,              0.0010273
                     11,                0.82264,                 1.6359,                0.76097,                 1.0862,                0.79394,                0.67609,                0.74614,                0.54374,                0.77609,                0.67297,                0.73255,                0.49196,                 1.0186,                 2.2241,                  1.011,                 1.2851,              0.0010025,              0.0010025,              0.0010025
                     12,                 0.8012,                 1.5759,                0.71858,                 1.0753,                0.83746,                 0.6774,                0.75248,                0.53018,                0.82844,                0.66723,                  0.742,                 0.4869,                 1.0539,                 2.2138,                 1.0131,                 1.3261,             0.00097775,             0.00097775,             0.00097775
                     13,                0.79153,                 1.5659,                 0.7037,                 1.0623,                0.82319,                0.68385,                0.76175,                0.56218,                0.81137,                 0.6752,                0.74655,                0.50646,                 1.0275,                 2.1495,                0.97475,                 1.2959,               0.000953,               0.000953,               0.000953
                     14,                0.78545,                 1.5176,                0.67713,                 1.0594,                0.82383,                0.68671,                0.75919,                0.56431,                0.82492,                0.68661,                0.75767,                0.51664,                  1.016,                 2.1247,                0.96445,                 1.2812,             0.00092825,             0.00092825,             0.00092825
                     15,                0.75365,                 1.4766,                 0.6477,                  1.039,                0.81495,                0.68141,                0.75611,                0.55876,                0.80021,                0.66924,                0.73547,                0.50327,                 1.0016,                 2.1017,                0.95038,                 1.2992,              0.0009035,              0.0009035,              0.0009035
                     16,                0.74451,                 1.4332,                0.64872,                  1.042,                0.82007,                0.71359,                0.77718,                0.56259,                0.80843,                0.69452,                 0.7515,                0.51475,                 1.0184,                   2.13,                0.95181,                 1.3146,             0.00087875,             0.00087875,             0.00087875
                     17,                0.72804,                 1.3752,                0.62016,                 1.0225,                0.85728,                0.68761,                0.76143,                0.57137,                0.85436,                0.67903,                0.74449,                0.50854,                0.99592,                 2.1013,                0.89224,                 1.3098,               0.000854,               0.000854,               0.000854
                     18,                0.70773,                 1.3716,                0.59138,                 1.0137,                0.89571,                0.69427,                0.78863,                0.58712,                0.89174,                0.69435,                0.78436,                0.53705,                0.93713,                 2.0524,                0.86606,                 1.2615,             0.00082925,             0.00082925,             0.00082925
                     19,                0.70718,                 1.3448,                0.59709,                 1.0159,                0.82117,                0.71949,                0.77302,                0.57995,                0.83058,                0.72633,                0.77697,                0.53502,                0.98263,                 2.1328,                0.92703,                 1.2902,              0.0008045,              0.0008045,              0.0008045
                     20,                0.69758,                 1.3559,                0.58679,                 1.0146,                0.81995,                0.71184,                0.78086,                0.57227,                0.82448,                 0.7114,                0.77541,                0.52988,                0.97128,                 2.0522,                0.89609,                 1.2935,             0.00077975,             0.00077975,             0.00077975
                     21,                0.67601,                 1.2882,                0.55694,                0.99694,                  0.821,                0.69501,                0.76361,                0.55823,                0.82085,                0.68927,                 0.7543,                0.50831,                 0.9966,                 2.0844,                0.97333,                 1.3008,               0.000755,               0.000755,               0.000755
                     22,                0.67923,                 1.2947,                0.55496,                 1.0039,                 0.8466,                0.72529,                0.79917,                 0.6094,                0.88174,                0.70159,                0.79487,                0.54798,                0.92767,                 1.9964,                0.91341,                   1.25,             0.00073025,             0.00073025,             0.00073025
