                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.92099,                 1.9742,                 1.3063,                  1.106,                0.65794,                0.55444,                0.59172,                0.38081,                0.64687,                0.54483,                0.57542,                0.34422,                  1.269,                  2.698,                 1.4547,                 1.5106,             0.00041356,             0.00041356,             0.00041356
                      2,                 1.0175,                 1.9571,                 1.0608,                 1.1587,                0.58182,                0.48001,                0.51534,                0.31601,                 0.5683,                0.47537,                0.50136,                0.28462,                 1.4018,                  2.966,                 1.6987,                 1.5835,             0.00081379,             0.00081379,             0.00081379
                      3,                 1.0684,                 2.0267,                 1.1069,                 1.1911,                0.57147,                0.54764,                0.51548,                0.30346,                0.57073,                0.52002,                0.49244,                0.27056,                 1.5018,                 2.8058,                  2.005,                 1.6562,              0.0011975,              0.0011975,              0.0011975
                      4,                 1.0497,                 1.9844,                 1.0381,                 1.1689,                0.53953,                0.50095,                0.48612,                0.29199,                0.54669,                0.50665,                0.48183,                0.26847,                 1.5204,                 2.7349,                 1.7641,                 1.6629,              0.0011757,              0.0011757,              0.0011757
                      5,                0.98758,                 1.9022,                0.95339,                 1.1342,                0.73518,                   0.55,                0.60844,                0.38636,                0.76611,                0.55442,                0.61423,                0.39218,                 1.4074,                 2.5231,                 1.4549,                 1.5792,               0.001151,               0.001151,               0.001151
                      6,                0.97204,                 1.8853,                0.93292,                 1.1333,                 0.8361,                0.59132,                0.70833,                0.47176,                0.81884,                0.60513,                0.68911,                 0.4468,                 1.2538,                 2.4133,                 1.1663,                 1.4371,              0.0011263,              0.0011263,              0.0011263
                      7,                 0.9319,                 1.8195,                0.88204,                 1.1145,                0.80954,                0.61516,                0.70581,                0.48024,                0.79445,                0.60008,                0.67896,                0.43518,                  1.169,                 2.3438,                 1.1386,                  1.401,              0.0011015,              0.0011015,              0.0011015
                      8,                0.90983,                 1.7438,                0.83526,                 1.0955,                0.80826,                 0.6369,                0.71437,                0.49067,                0.79566,                0.62856,                0.69284,                0.44524,                  1.161,                 2.3551,                 1.1661,                 1.3705,              0.0010768,              0.0010768,              0.0010768
                      9,                0.87829,                 1.6843,                0.79211,                 1.0817,                0.79139,                 0.6666,                0.72142,                0.50659,                0.78442,                0.66243,                0.69559,                0.46246,                 1.1349,                 2.3716,                  1.103,                 1.3549,               0.001052,               0.001052,               0.001052
                     10,                0.86418,                 1.6523,                0.77634,                 1.0683,                 0.7824,                0.67534,                0.73159,                0.51028,                0.77711,                0.66617,                0.71743,                0.47417,                 1.1147,                   2.25,                 1.0869,                 1.3434,              0.0010273,              0.0010273,              0.0010273
                     11,                0.85399,                 1.6535,                0.76321,                 1.0707,                0.80684,                0.67665,                0.73558,                 0.5141,                0.80154,                0.64764,                0.70963,                0.47035,                 1.1094,                 2.2041,                 1.0467,                 1.3393,              0.0010025,              0.0010025,              0.0010025
                     12,                0.82208,                 1.5707,                0.71762,                 1.0574,                0.80106,                0.65761,                0.71587,                0.50024,                0.79924,                0.65653,                0.70994,                0.46523,                 1.1312,                  2.251,                 1.0969,                   1.37,             0.00097775,             0.00097775,             0.00097775
                     13,                0.80842,                 1.5638,                0.69618,                 1.0427,                0.82092,                0.67884,                0.76364,                0.54602,                0.80577,                0.66549,                0.74226,                 0.5047,                   1.07,                 2.2376,                0.99188,                 1.3239,               0.000953,               0.000953,               0.000953
                     14,                0.80835,                 1.5227,                0.67781,                 1.0403,                0.80094,                0.69409,                0.75735,                0.54551,                0.79785,                 0.6901,                0.74814,                0.49791,                 1.0577,                 2.1304,                0.98034,                 1.2831,             0.00092825,             0.00092825,             0.00092825
                     15,                0.78337,                 1.4938,                0.66477,                 1.0287,                0.81316,                0.66817,                0.73989,                0.53052,                0.80871,                0.65576,                0.72613,                0.48229,                  1.053,                 2.2556,                 1.0361,                 1.3105,              0.0009035,              0.0009035,              0.0009035
                     16,                0.77272,                 1.4564,                0.65533,                 1.0273,                 0.8188,                 0.6899,                0.75073,                0.53916,                0.80755,                0.67839,                0.73307,                0.50753,                 1.0482,                 2.1498,                 1.0088,                 1.3056,             0.00087875,             0.00087875,             0.00087875
                     17,                0.76313,                  1.388,                0.62372,                 1.0155,                0.81105,                 0.6878,                0.75588,                0.57052,                0.81479,                0.68642,                0.74399,                0.51092,                 1.0216,                  2.224,                0.97465,                 1.2642,               0.000854,               0.000854,               0.000854
                     18,                0.73289,                 1.3749,                0.59911,                  1.001,                0.82144,                0.70645,                0.76593,                0.56144,                0.82703,                0.68523,                0.74694,                0.51823,                 1.0499,                 2.1974,                 1.0002,                 1.3302,             0.00082925,             0.00082925,             0.00082925
                     19,                0.73671,                 1.3628,                0.60502,                 1.0072,                 0.8278,                 0.6938,                 0.7519,                0.54663,                0.82953,                0.69423,                0.74931,                0.49896,                 1.0319,                 2.2136,                 1.0009,                 1.2732,              0.0008045,              0.0008045,              0.0008045
                     20,                0.72616,                 1.3703,                0.59471,                 1.0036,                 0.8575,                0.68328,                0.76643,                0.55707,                0.83452,                0.67827,                0.74672,                0.51445,                 1.0305,                 2.1013,                0.96741,                 1.2933,             0.00077975,             0.00077975,             0.00077975
                     21,                 0.7141,                 1.3327,                0.57536,                0.99423,                0.78528,                0.71109,                0.75675,                0.56053,                0.78372,                0.71575,                0.76472,                0.51141,                 1.0099,                 2.0282,                0.94433,                 1.2741,               0.000755,               0.000755,               0.000755
                     22,                 0.7127,                 1.3238,                0.57393,                0.99146,                0.84475,                0.70947,                0.77753,                0.58333,                0.82851,                0.70646,                0.76458,                0.52611,                 0.9724,                 2.0756,                 0.9592,                  1.249,             0.00073025,             0.00073025,             0.00073025
                     23,                0.69879,                 1.3091,                0.54676,                0.98293,                0.88172,                0.68922,                0.77356,                0.57189,                0.85834,                0.67788,                0.75704,                0.50858,                 1.0004,                 2.1955,                0.96424,                 1.2921,              0.0007055,              0.0007055,              0.0007055
                     24,                0.68738,                 1.2697,                0.54791,                0.98308,                0.81311,                0.70758,                0.77195,                0.56462,                0.80275,                0.70659,                0.75901,                0.51528,                  0.989,                  2.135,                0.92718,                 1.2619,             0.00068075,             0.00068075,             0.00068075
                     25,                0.67665,                 1.2487,                0.52886,                0.96696,                0.82683,                0.72878,                0.78059,                0.57762,                 0.8426,                0.69957,                0.77255,                0.52422,                0.98436,                 2.1027,                0.94478,                 1.2606,               0.000656,               0.000656,               0.000656
                     26,                0.66981,                 1.2232,                0.52448,                0.97222,                0.88318,                0.69043,                0.77292,                0.58028,                0.87601,                0.68651,                0.76742,                0.53169,                  1.002,                 2.1023,                0.97738,                  1.291,             0.00063125,             0.00063125,             0.00063125
                     27,                0.66798,                 1.2164,                 0.5172,                0.96983,                0.84271,                0.71991,                0.76878,                 0.5781,                0.83214,                0.72289,                0.77005,                0.52533,                0.95859,                 2.0581,                0.91633,                 1.2416,              0.0006065,              0.0006065,              0.0006065
                     28,                0.65535,                 1.1861,                0.50138,                0.96429,                0.88303,                0.71077,                0.78428,                0.58495,                0.87579,                 0.7051,                0.78171,                0.54391,                0.98916,                 2.0946,                0.92799,                 1.2816,             0.00058175,             0.00058175,             0.00058175
                     29,                0.64259,                 1.1932,                 0.4968,                0.95808,                 0.8705,                 0.7067,                0.78099,                 0.5909,                  0.874,                0.70638,                0.77782,                0.53815,                0.93703,                 2.1041,                0.95776,                 1.2464,               0.000557,               0.000557,               0.000557
